1769189215937: GET: /api/users/
1769189256361: GET: /api/users/1004
1769189364704: POST: /api/users/1006
1769189417709: POST: /api/users
1769189513458: ::1 POST: /api/users
1769776021836: ::1 GET: /
1769776037879: ::1 GET: /api/users
1769776038092: ::1 GET: /favicon.ico
1769776047949: ::1 POST: /api/users
1769776095068: ::1 POST: /api/users
1769776363873: ::1 GET: /api/users
1769776367622: ::1 POST: /api/users
1769776370849: ::1 POST: /api/users
1769776390666: ::1 POST: /api/users
1769776423838: ::1 POST: /api/users
1769777136760: ::1 POST: /api/users
1769777521451: ::1 GET: /users
1769777535994: ::1 GET: /users
1769777704422: ::1 GET: /api/users
1769778220016: ::1 GET: /api/users/97ca7f03e472e958bde566a
1769778324657: ::1 GET: /api/users/97ca7f03e472e958bde566a
1769778424586: ::1 GET: /api/users/97ca7f03e472e958bde566a
1769778690175: ::1 GET: /api/users/697ca527c8862f96d5986ec5
1769778696885: ::1 GET: /api/users/697ca527c8862f96d5986ec5
1769779620048: ::1 GET: /api/users/697ca527c8862f96d5986ec5
1769779653792: ::1 PATCH: /api/users/697ca527c8862f96d5986ec5
1769779802746: ::1 DELETE: /api/users/697ca527c8862f96d5986ec5
1769779872724: ::1 DELETE: /api/users/697ca527c8862f96d5986ec5
1769779966122: ::1 DELETE: /api/users/697ca527c8862f96d5986ec5
1769780010645: ::1 DELETE: /api/users/697ca527c8862f96d5986ec5
1769780149936: ::1 DELETE: /api/users/697ca527c8862f96d5986ec5
1769780229954: ::1 GET: /users
